wildapricot-textmanager-config,,,,,,,
Wild Apricot Reference,Default Text,English Replacement Text,Alternate Language Text,Notes,Function,Query,Style
Example,"501\(c\)6 non-profit organization. Street Address\, City\, State 123456",,Text manager activé.,,replace_element,,
Example,copyright information and address,,"Félicitations, Wild Apricot Text Manager a été installé avec succès!",,replace_element,,
,,,,,,,
Globals,I confirm I have read and accept the terms of the Privacy Policy,,Je confirme avoir lu et accepté les termes de la politique de confidentialité,,replace,,
,,,,,,,
MultipleGadgets,Back,,Retour,,text,#FunctionalBlock1_ctl00_ctl00_backLink,
MultipleGadgets,Back,,Retour,,text,.backLink,
MultipleGadgets,I agree to the terms and conditions of the privacy policy.,,J'accepte les termes et conditions de la politique de confidentialité.,,text,a:contains(I agree to the terms and conditions of the privacy policy.),
MultipleGadgets,Mandatory fields,,Champs obligatoires,,text,.mandatoryFieldsTitle strong:contains(Mandatory fields),
MultipleGadgets,Yes,,Oui,,inactive,,
MultipleGadgets,No,,Non,,inactive,,
,,,,,,,
Profile Related Pages,My profile,,Mon profil d'utilisateur,,text,#id_swUzzgD > div > h2,
Profile Related Pages,Edit profile,,Éditer le profil,,button,#FunctionalBlock1_ctl00_ctl00_editButtonTop,
Profile Related Pages,Edit profile,,Éditer le profil,,button,#ctl00_ContentArea_editButtonTop,
Profile Related Pages,My directory profile,,Mon profil dans l'annuaire,,text,#FunctionalBlock1_ctl00_ctl00_memberDirectoryDetailsLink,
Profile Related Pages,My directory profile,,Mon profil dans l'annuaire,,text,#ctl00_ContentArea_memberDirectoryDetailsLink,
Profile Related Pages,Profile,,Profil,,text,#FunctionalBlock1_ctl00_ctl00_profileTabLabel,
Profile Related Pages,Profile,,Profil,,text,#FunctionalBlock1_ctl00_ctl00_profileTabLink,
Profile Related Pages,Profile,,Profil,,text,#ctl00_ContentArea_profileTabLink,
Profile Related Pages,Profile,,Profil,,text,#FunctionalBlock1_ctl00_ctl00_profileTabLink,
Profile Related Pages,Privacy,,Confidentialité,,text,#FunctionalBlock1_ctl00_ctl00_privacyTabLink,
Profile Related Pages,Privacy,,Confidentialité,,text,#FunctionalBlock1_ctl00_ctl00_privacyTabLabel,
Profile Related Pages,Privacy,,Confidentialité,,text,#ctl00_ContentArea_accessTabLink,
Profile Related Pages,Email subscriptions,,Préférences de courriel,,text,#FunctionalBlock1_ctl00_ctl00_subscriptionsTabLink,
Profile Related Pages,Email subscriptions,,Préférences de courriel,,text,#ctl00_ContentArea_subscriptionsTabLink,
Profile Related Pages,Email subscriptions,,Préférences de courriel,,text,#FunctionalBlock1_ctl00_ctl00_subscriptionsTabLabel,
Profile Related Pages,Invoices and payments,,Factures et paiements,,text,#FunctionalBlock1_ctl00_ctl00_invoicesTabLink,
Profile Related Pages,Invoices and payments,,Factures et paiements,,text,#ctl00_ContentArea_invoicesTabLabel,
Profile Related Pages,My event registrations,,Mes événements,,text,#FunctionalBlock1_ctl00_ctl00_eventRegistrationsTabLink,
Profile Related Pages,My event registrations,,Mes événements,,text,#ctl00_ContentArea_registrationsTabLabel,
Profile Related Pages,Donations,,Mes dons,,text,#ctl00_ContentArea_donationsTabLabel,
Profile Related Pages,Renew to,,Renouvellement,"We lose the renewal date, is there a better way?",button,#FunctionalBlock1_ctl00_ctl00_Membership_RenewalButton,
Profile Related Pages,Add member,Add rights holder,Ajouter un ayant droit,,button,#FunctionalBlock1_ctl00_ctl00_groupAccountSummary_addNewMemberButton,
,,,,,,,
Profile event registrations,Members Category,,Catégorie de membres,,replace,#membersTable,
Profile event registrations,and,,et,,replace,#membersTable,
Profile event registrations,Member registration,,Enregistrement des membres,,replace,#membersTable,
Profile event registrations,Confirmed,,Confirmé,,replace,#membersTable,
Profile event registrations,"Invoiced, not paid",,"Facturé, non payé",,replace,#membersTable,
Profile event registrations,In Progress,,En cours,,replace,#membersTable,
,,,,,,,
,,,,,,,
,,,,,,,
